Business_Name,Address,Telephone,Fax,Website,Description
Dobbies Garden World Shepton Mallet,"Mendip Avenue, Fosseway Industrial Estate, Shepton Mallet, BA4 4PE, United Kingdom",01749333490,,,
Dobbies Garden World Shrewsbury,"Bayston Hill Nurseries, Hereford Road, Bayston Hill, Shrewsbury, SY3 0DA, United Kingdom",01743874261,01743 874208,http://www.dobbies.com,"Recently refurbished garden centre offering a wide selection of gardening and giftware products. A 150 seater restaurant including a seating terrace outside. A newly constructed display garden incorporating plant material, kaddonstone and water features."
Dobbies Garden World Southport,"Benthams Way, Southport, PR8 4HX, United Kingdom",01704552920,01704 552921,http://www.dobbies.com,
Dobbies Garden World Stapleton,"Ashby Road, Stapleton, LE9 8JE, United Kingdom",01455291494,,,
Dobbies Garden World Stirling,"Drip Road, Craigforth, Stirling, FK9 4UF, United Kingdom",01786458860,,http://www.dobbies.com,
Dobbies Garden World Stockton,"Yarm Road, Stockton-on-Tees, TS18 3SQ, United Kingdom",01642613433,,,
Dobbies Garden World Stratford Upon Avon,"Black Hill, Warwick Road, Stratford-upon-Avon, CV37 0QW, United Kingdom",01789731623,,,
Dobbies Garden World Swansea,"Siemens Way, Enterprise Park, Swansea, SA7 9FT, United Kingdom",01792310052,,,
Dobbies Garden World Swindon,"Hyde Road, Stratton St. Margaret, Swindon, SN2 7SE, United Kingdom",01793822224,,,
Dobbies Garden World Telford,"Station Road, Donnington, Telford, TF2 8JY, United Kingdom",01952677733,,,
Dobbies Garden World Thornbury,"Milbury Heath, Wotton-under-Edge, GL12 8QH, United Kingdom",01454412247,,,
Dobbies Garden World Woodbridge,"Grundisburgh Road, Woodbridge, IP13 6HX, United Kingdom",01394380022,,,
Dobbies Garden World Woodcote Green,"Woodmansterne Lane, Wallington, SM6 0SU, United Kingdom",02086476838,,,
Dobbies Garden World York,"Northfield Lane, Upper Poppleton, York, YO26 6QE, United Kingdom",01904795920,,,
Dore Moor Garden Centre & Nursery,"Dore Moor Garden Centre & Nursery, Hathersage Road, Dore, Sheffield, S17 3AB, United Kingdom",01142350092,,,
Doves Barn Nursery,"Copthorne Road, Felbridge, East Grinstead, RH19 2PB, United Kingdom",01342410149,,,"Doves Barn was established in 1973 by Clive Fowler and his Wife Valerie. The owners have been joined since by their daughters Dawn and Donna, so it is still very much a family business.
We are a retail nursery, selling shrubs, trees and bedding plants, many of them from on the premises, as well as everything you need for the garden. There is now a large area of gifts.
The staff are friendly and glad to help. 
We are open 9-5 every day and situated on the A264 at Felbridge, near East Grinstead."
Downham Garden Centre,"Railway Road, Downham Market, PE38 9EB, United Kingdom",01366382384,01366 382450,http://www.downhamgardencentre.co.uk,
Downtown Garden Centre,"Gonerby Moor Roundabout, Gonerby Moor, Grantham, NG32 2AB, United Kingdom",01476512333,01476 512312,,"We are one of the largest garden centres in the UK. We have 80,000 sq ft of covered sales area to give you an enjoyable visit, whatever the weather, with a further 4.5 acres of plants and landscape materials for sale. We're just off the A1 near Grantham. We are always happy to help with any of your garden and leisure needs."
Downtown Lincoln,"Tritton Road, Moorland Way, Lincoln, LN6 7TN, United Kingdom",01476512333,,,
Duchy Of Cornwall Nursery,"Close Nursery, Shipton Moyne Road, Tetbury, GL8 8PJ, United Kingdom",,,,
Duchy Of Cornwall Nursery,"Cott Road, Lostwithiel, PL22 0HW, United Kingdom",01208872668,01208 872835,https://www.duchyofcornwallnursery.co.uk/,"A traditional nursery with a modern outlook. We grow and sell the widest range of plants in the southwest, including exotic and conservatory plants as well as tried and trusted favourites. New award winning CafÃ© and Shop now open."
Ducks Hill Garden Centre,"Ducks Hill Road, Ruislip, HA4 7TP, United Kingdom",01895674286,01895 622301,http://www.duckshillgardencentre.co.uk,"An independent modern garden centre close to London. A large range of specimen plants, shrubs and indoor & outdoor pots. Turf and topsoil in stock now. Daily deliveries into London. Come and visit close to the M25/M40 junction, 18-20. An extensive range of garden and outdoor living furniture. Opening hours 9-5.30 Mon-Sat/Sunday 10.30-4.30. www.duckshillgardencentre.co.uk"
Dunbar Garden Centre,"Spott Road, Dunbar, EH42 1BF, United Kingdom",01368238038,,,
Duncraig Nursery,"By Plockton, Plockton, IV52 8TZ, United Kingdom",01599544229,01599 544 229,http://www.duncraignursery.co.uk,"At Duncraig Nursery we grow a wide range of plants suitable for the highlands. We stock shrubs, roses, ornamentals and fruit trees, soft fruit, climbers, conifers, herbs, rhododendrons, herbaceous perennials, heathers alpines, aquatic plants, seasonal bedding and vegetable plants. In and around our garden shop we stock compost, bark, Mr Fothergills seeds, terracotta, plastic and glazed pots, garden ornaments, gifts, National Garden Gift Vouchers, garden sundries and wooden barrels."
Dundry Nurseries,"Bamfurlong Lane, Bamfurlong, Cheltenham, GL51 6SL, United Kingdom",01452713124,01452 857748,http://www.dundrynurseries.co.uk,
Dunston Hall Garden Centre,"Dunston Road, Newbold, Chesterfield, S41 9RL, United Kingdom",01246268468,,http://dunstonhallgardencentre.co.uk,
Earlswood Garden & Landscape Centre,"Forshaw Heath Road, Earlswood, Solihull, B94 5JU, United Kingdom",01564702314,01564 702 749,http://www.earlswoodglc.co.uk,
Easingwold Garden Centre and Country Store,"Raskelf Road, Easingwold, York, YO61 3LA, United Kingdom",01347821034,01347 823470,,"The Easingwold garden centre offers a wide range of garden and ,country products (including pet horse and animal feeds),Garden machinery with service support os also available. Our friendly ,knowledgeable staff are on hand to give personal advice and ,assistance with"
East Bridgford Garden Centre,"Bridgford Garden Centre, Fosse Road, East Bridgford, Nottingham, NG13 8LA, United Kingdom",0194920055,,,
East Northdown Nursery,"George Hill Road, Margate, CT10 3BN, United Kingdom",01843862060,01843 860206,http://www.botanyplants.co.uk,"Farmhouse seaside garden plant nursery/garden centre specialising in coast and chalk loving plants. Friendly, family service. Taddy's barn cafe now open!"
Eastcote Garden Centre,"Hampton Road Eastcote, Barston, Solihull, B92 0JJ, United Kingdom",01675442031,01675 443859,,
Eastfield Garden Centre,"Easton Road , Bridlington, YO16 4DB, United Kingdom",01262676285,01262 401180,,An expanding garden centre stocking a very extensive range of products for your garden and home. Large café serving home cooked meals and snacks. Also a selection of cakes and some baked in our kitchen. Good car parking facilities.
Eastwood Garden Plant Centre,"Eastwood Park, Falfield, Wotton-Under-Edge, GL12 8DA, United Kingdom",01454260288,01454 261988,http://www.eastwoodgardenplantcentre.co.uk,
Eden Garden Centre,"6 Ploughlands, Dundonald, Kilmarnock, KA2 9BT, United Kingdom",01563850215,,https://www.edengardencentre.com/,
Eden Park Garden Centre,"Upper Elmers End Road, Beckenham, BR3 3DE, United Kingdom",02086502424,020 8663 6669,http://www.epgc.co.uk,"Family run garden centre established over 50 years, stocking dry goods, shrubs, turf & pots. Christmas Trees: spruce & Nordmanniana. Friendly personal service. Free advice. Also landscape service and advice : hard and soft.Paving samples laid on site, paving samples.
Open 7 days a week 52 weeks of the year. Approximately 5 car park spaces."
Edwin Tucker & Sons,"Commercial Road, Lords Meadow Industrial Estate, Crediton, EX17 1ER, United Kingdom",01364651069,01364 654300,http://seeds@edwintucker.com,"Tuckers, established in 1831 has 2 friendly and practical Country Stores offering a great range for the country loving person. We have most of your garden needs including probably the largest selection of seed potatoes around plus our own range of vegetable and flower seeds which are available in store or on-line. A free seed catalogue is available, email: seeds@edwintucker.com. Beautiful plants from Hill House Nurseries. Huge selection of pet, equine and poultry and animal feeds and accessories. Country clothing and footwear. Fencing and gates etc. for field to garden. An aladdins cave of the usual and unusual!"
Ellerker Lodge Garden Centre,"Ellerker Lodge Garden Centre, Ring Beck, Ellerker, Brough, HU15 2DD, United Kingdom",01430422256,01430441510,,"Ellerker Lodge Garden Centre commenced trading on 1 December 2014 on the former site of Greens Garden Centre (S W Green & Sons).  Although it is a new business, it is run by friendly and knowledgeable staff who have many years’ experience of working in Garden Centres and landscaping.  A wide range of items are kept in stock including shrubs, trees, house plants, compost, weedkiller, fertilizer and garden tools etc.  In 2015, there are plans for the opening of a café, introduction of a wide range of pet and animal foods, gifts and also a good selection of outdoor furniture."
Elm Court Garden Centre,"Elm Court, Capstone Road, Gillingham, ME7 3JQ, United Kingdom",01634813778,,http://www.elmcourtgardencentre.co.uk,
Elm Park Garden Centre,"Elm Park Garden Centre, Aldermaston Road, Pamber End Tadley, Basingstoke, RG26 5QW, United Kingdom",01256850587,01256 851266,http://www.elmparkgardencentre.co.uk,We are a family run business that has been established for 30 years as a garden centre and have been growing roses for over 65 years.
Elmridge Gardens,"Coniscliffe Road, Darlington, DL3 8DH, United Kingdom",01325462710,01325 363550,,
Elmwood Nursery,"Westerleigh Road, Henfield, Coalpit Heath, BS36 2UP, United Kingdom",01179561495,0117 9561495,,"Offering a wide range of shrubs, trees, fruit and vegetable plants, herbaceous perennials, bedding and basket plants, garden sundries and much more. Mostly grown on the nursery. We are happy to help and give advice."
Embleys Nurseries Ltd,"Liverpool New Road, Much Hoole, Preston, PR4 4RL, United Kingdom",01772612227,01772 612283,http://www.embleysnurseries.co.uk,
Endsleigh Garden Centre,"Cadleigh Park, Ivybridge, PL21 9JL, United Kingdom",01752938118,,,
Endsleigh Gardens Nursery,"Milton Abbot, Tavistock, PL19 0PG, United Kingdom",01822870235,01822 870513,,"Endsleigh Gardens Nursery is set in an idyllic 5 acre site, formally the Duke of Bedford's walled garden. This traditional nursery specialises in grafting Japanese maples, ornamental and fruiting trees, wisteria and old West country apple trees etc. Propagating a wide range of shrubs and herbaceous plants and stocking a wide range of seasonal bedding, bone root hedging, trees, alpines, heathers, roses, climbing plants etc. All backed up with experienced staff only too happy to help, no matter how small or large the project. Mail order is also available. Please call for details."
Englefield Garden Centre,"The Street, Englefield, Theale, Reading, RG7 5ES, United Kingdom",01189304898,01189 323220,http://englefieldgardencentre.co.uk/,"Englefield Garden Centre is managed by Affinity Trust which is a charitable organisation that champions the support of adults with learning disabilities. Affinity Trust offers work opportunities at Englefield Garden Centre to the people it supports which can enable them to fulfil their potential through workplace opportunities.

With the help of our dedicated team of people with learning disabilities, we grow over 100,000 plants every year at the garden centre. So the person you buy the plant from is often the person who grew it â€“ and who could give you better advice about your new plant than the person who grew it?"
Everton Nurseries Garden Centre,"Christchurch Road, Everton, Lymington, SO41 0BF, United Kingdom",01590642155,01590 644710,http://www.evertonnurseries.co.uk,"We are a garden centre offering a range of quality trees, shrubs and ,hardy plants unrivalled in the New Forest Area, supplied mainly by our ,own nursery. We also welcome garden centres, nurseries and ,landscape contractors who wish to buy direct from our nursery on ,wholesale terms."
Evesham Garden Centre,"Evesham Garden Centre, Unit 8, The Valley, Twyford, Evesham, WR11 4DS, United Kingdom",01386761888,01386 761999,,
Ewenny Garden Centre,"Ewenny, Bridgend, CF35 5AD, United Kingdom",01656663388,,http://www.ewennygardencentre.co.uk,
F Morrey & Son,"Forest Nursery, Kelsall, Tarporley, CW6 0SW, United Kingdom",01829751342,01829 752449,http://www.morreys-nursery.com,"Forest Nursey lies in an attractive rural setting on the edge of Delamere Forest. It was established by Frederick Morrey in 1910 and we have growing ever since. The nursery covers over 100 acres producing shrubs, trees, azaleas, rhododendrons, japanese maples, hollies, roses and conifers. We also have an extensive range of herbaceous alpine and enca plants. Whilst still growing 90% of our own stock we can still offer excellent quality and value for money."""
Fair Gardens Plant Centre Ltd,"Station Road, Kirton Lindsey, Gainsborough, DN21 4JR, United Kingdom",01652648631,01652 640424,http://www.FairGardens.co.uk,"Established in 1972 we have grown into one of the largest garden centre in the area. We sell quality bedding plants, trees, shrubs, roses, herbaceous plants and alpines. Outside we also have compost, aggregates, pots and fencing. Our huge indoor area stocks everything from greeting cards to outdoor fountains and our showroom is bursting with cane furniture, outdoor furniture, BBQ's and accessories. Our 150 seat restaurant serves quality home-made cakes, breakfasts, lunches and sandwiches. Car parking for 200+ cars. Visit us soon!"
Fairfield Farm Trust,"43 High Street, Dilton Marsh, Westbury, BA13 4DL, United Kingdom",01373823028,01373 859032,,"A small, friendly and welcoming Farm shop and café offering a selection of goods and services. Managed by a professional team of staff, ably supported by our teenage students with learning disabilities."
Fairleys Garden Centre,"53 Main Street, Cairneyhill, Dunfermline, KY12 8QT, United Kingdom",01383880223,01383 881631,,
Fairways Garden Centre,"Bullocks Lane, Sutton, Macclesfield, SK11 0HE, United Kingdom",01625618933,01625 503485,,
Fairways Garden Centre,"Clifton, Ashbourne, DE6 2GN, United Kingdom",01335347900,01335 348338,,
Fairweather's Garden Centre,"High Street, Beaulieu, SO42 7YB, United Kingdom",01590612307,01590 612519,http://www.fairweathers.co.uk,"Fairweather's is located in the unique village of Beaulieu. We have a wide range of plants and garden related goods. We stock an extensive range of sundries and tools for the gardener and a varied choice of gift ideas. Relax in Steff's Kitchen and enjoy delicious home cooked food and a warm welcome. Patrick's Patch is an inspiring, educational and productive garden built adjacent to the Garden Centre, entry by donation. Year round we grow a wide range of vegetables, fruit, herbs and cut flowers that are used in our café - Steff's Kitchen. Courses and tours are held regularly."
Fakenham Garden Centre,"Mill Road, Hempton, Fakenham, NR21 7LH, United Kingdom",01328863380,01328 851102,http://www.fakenhamgardencentre.co.uk,
Falmouth Garden Centre,"Swanpool Road, Goldenbank, Falmouth, TR11 5BH, United Kingdom",01326315404,01326 305404,http://www.FalmouthGardenCentre.co.uk,"Family run garden centre specializing in plant sales. Free expert advice, knowledgeable staff. Full range of compost, gravels, paving, fencing, sundries etc. Stocked associated garden design and landscaping business. Open every day New Year to Christmas"
Farmyard Nurseries,"Farmyard Farm, Dol Llan Road, Llandysul, SA44 4RL, United Kingdom",01559363389,01559 362200,http://www.farmyardnurseries.co.uk,
Farnborough Garden Centre,"Southam Road, Farnborough, Banbury, OX17 1EL, United Kingdom",01295690479,01295 690327,,
Farthing Common Plant Centre,"Stone Street, Farthing Common, Lyminge, Folkestone, CT18 8DH, United Kingdom",01303863438,,,
Farthing Common Plant Centre,"c/o Heber Hort Services, Chambers Green Road, Pluckley, Ashford, TN27 0RH, United Kingdom",01233840793,01233 840993,,
Fermoys Garden Centre & Farm Shop limited,"Totnes Road, Ipplepen, Newton Abbott, TQ12 5TN, United Kingdom",01803813504,,,
Ferndale Garden Centre,"Dyche Lane, Coal Aston, Dronfield, S18 3BJ, United Kingdom",01246412763,,,
Ferndale Home & Garden Centre,"Berse Road, Caego, Wrexham, LL11 6TP, United Kingdom",01978751946,,,"We are a family run business trading over the past 27 years. We are always on hand to give expert advice to all our customers. As we are all family members working here it is our aim to give 100% commitment at all times. We always welcome back our regular customers with a big smile, and are always very pleased to see new customers."
Ferngreen Nursery,"Borelands, Coupar Angus, PH13 9LL, United Kingdom",01828670651,,,
Festival Garden Centre,"Springfields Outlet Village, Camelgate, Spalding, PE12 6EU, United Kingdom",01775760949,01775 722047,http://www.festivalgardencentre.com,Located alongside Springfields Outlet Shopping & Festival Gardens.
Fillpots Nursery,"52 Straight Road, Boxted, Colchester, CO4 5RB, United Kingdom",01206273834,,http://www.fillpots.co.uk,
Finchley Nurseries Ltd,"Burtonhole Lane, Mill Hill, NW7 1AS, United Kingdom",02089592124,020 8906 3926,http://www.finchleynurseries.co.uk,A friendly family run garden centre close to the heart of London but set in a lovely countryside setting. We stock a vast range of products but believe our main priority is to supply a wide selection of top quality plants. Well worth a visit.
Findon Garden Centre,"Rogers Lane, Findon, Worthing, BN14 0RE, United Kingdom",01903895384,,http://www.findongc.co.uk,
Fletchers Garden and Leisure,"Bridge Farm, Stone Road, Eccleshall, ST21 6JY, United Kingdom",01785851057,01785 850877,http://www.fletchersgardencentre.co.uk,"Award winning country garden centre not only offering the full range of a modern garden centre. We are also a leisure destination centre with a miniature steam railway, 18 hole crazy golf course and birds of pray and wildlife rescue zoo."
Flitvale Garden Centre,"Flitwick Road, Westoning, MK45 5AA, United Kingdom",01525712484,01252 718412,,
Flixton Garden Centre,"Carrington Road, Flixton, Manchester, M41 6HT, United Kingdom",01617485187,,http://www.parkersgardencentre.com,
Floral Hall,"Floral Hall, 370-372 Norwood Road, London, SE27 9AA, United Kingdom",02086703200,,http://www.floralhalllondon.co.uk,
Flowerland,"Bourne End Garden Centre, Hedsor Road, Bourne End, SL8 5EE, United Kingdom",01628529411,01628 810735,http://www.flowerland.co.uk,
Folkestone Garden Centre,"Canterbury Road, Swingfield, Dover, CT15 7HX, United Kingdom",01303844033,,,
Fonthill Garden Centre,"Bath Road, Bitton, Bristol, BS30 6HX, United Kingdom",01179323110,0117 9326433,http://www.fonthill-lakeside.com,Fonthill garden centre is a family run business that has been going since 1967.
Forest Garden Centre,"Oddford Lane, Two Dales, Matlock, DE4 2EX, United Kingdom",01629733225,01629 733225,http://www.forestgardencentre.co.uk,Family run business with over 70years of gardening excellence and experience. Impressively large well stocked Craft Shop with an ever increasing range throughout the year. Wide range of conservatory furniture always on display.
Fosseway Garden Centre,"Stow Road, Moreton-in-Marsh, GL56 0DS, United Kingdom",01608651757,01608 652958,http://www.fossewaygardencentre.co.uk,"Fosseway Garden Centre nestles in the Cotswolds and is a large family-run garden centre offering all gardening, gifts and everything to do with outdoor living - along with a great cafe offering hot & cold food."
Four Acres Nurseries,"Great Comberton Road, Pensham, Pershore, WR10 3DY, United Kingdom",01386550357,,,"A small nursery with a wide range of herbaceous perennials, grasses, ,alpines, herbs and patio plants. A wide selection of terracotta pots and ,wicker design baskets which are empty and planted up. Also we have ,a wide range of composts."
Four Seasons Sleaford,"London Road, Silk Willoughby, Sleaford, NG34 8NY, United Kingdom",01529304970,,,
Foxfield Garden Centre,"The Laurels, Foxfield, Broughton-in-Furness, LA20 6BT, United Kingdom",01229716318,,,
Frank Nicol Farm & Garden Machinery Ltd,"Strathpeffer Road, Strathpeffer Road, IV15 9QF, United Kingdom",01349863854,01349 867777,http://www.franknicol.co.uk,"A family run business open 7 days a week. Full workshop facilities, 4 service engineers. All types of garden/horticultural/agricultural machinery repairs. All food served is cooked and prepared on premises. Spacious garden shop outdoor clothing and footwear. A parts back-up service for most makes of mowers, garden tractors, hedge trimmers, brush cutters. Briccs & Stratton engine service depot for Highlands. Tecumsech engine service station. Animal and Pet Food Store Macgas main distributor Butane and Propane for Highlands. JCB ground care distributors for Highlands and Islands."
Freeland Nurseries Ltd,"Wroslyn Road, Freeland, Witney, OX29 8AQ, United Kingdom",01993881430,01993 886925,,
Fron Goch Garden Centre,"Fron Goch, Pant Road, Caernarfon, LL54 5RL, United Kingdom",01286672212,01286 678912,,"Plants are a priority for us, our own nursery growing a large part of what we sell. We offer a vast range  covering every type of garden. Be it woodland, seaside, bog or alpine etc. Whether you like architectural planst such as exotic palms, tree ferns, standard bay etc. Or you prefer bedding plants  we've got it all . We also offer a wide range of garden sundries. Our cafÃ©/restaurant provides hot meals and is open 9.30 til 5.00pm."
Frosts Garden Centre,"Newport Road, Woburn Sands, Milton Keynes, MK17 8UE, United Kingdom",01908583511,01908 585238,http://www.frostsgroup.com,"Frosts garden centres pride themselves on the range and quality of their plants, trees and shrubs and the horticultural expertise demonstrated by staff. All hardy nursery stock is sold with a five year guarantee. The garden centre also offer an outstanding choice in garden furniture, BBQ`s, aquatic products, gifts, clothing and home dinning. The Garden Room Restaurants Club provide a daily changing menu of home cooked, wholesome meals and snacks. Frosts Gardening Club allows members to buy a wide range of products with a 10% discount, including plants and restaurant and workshops, plus exclusive offers and invitations to sale previews and special shopping nights. For further information about this exceptional family business, please refer to www.frostsgroup.com"
Frosts Garden Centre,"Frosts at Brampton, Buckden Road, Brampton, Huntingdon, PE28 4NF, United Kingdom",01480453048,01480 414994,,
Frosts Garden Centre,"Barford Road, Willington, Bedford, MK44 3QP, United Kingdom",01234838777,01234 838135,http://www.frostsgroup.com,
Frosts Garden Centre,"Frosts at Millets Farm, Kingston Road, Frilford, Abingdon, OX13 5HB, United Kingdom",01865391923,01865 391567,,
Fryers Garden Centre,"Manchester Road, Knutsford, WA16 0SX, United Kingdom",01565755455,01565 653755,http://www.fryersroses.co.uk,"This family run business, established in 1912 is the North of England's largest rose nursery, renowned for quality and reliability. More recently an extensive, well stocked garden centre, with a cafe/restaurant and spacious undercover area has been developed on the 70 acres site. The centre has already gained an excellent reputation, providing a vast range of plants with many interesting and unusual products for home and garden. All backed up by helpful and knowledgeable staff readily on hand for advice and information. Roses are in full bloom during the summer and available throughout the year. Colour catalogues available."
Galloway Heathers Plant Centre,"Holmpark Industrial Estate, Minnigaff, Newton Stewart, DG8 6AW, United Kingdom",01671402360,,http://www.gallowayheathers.com,
Garden Centre Overstrand Ltd,"6 Mundesley Road, Overstrand, Cromer, NR27 0PU, United Kingdom",01263579485,,,
Garden King,"Park Road, Newhall, Swadlincote, DE11 0TX, United Kingdom",01283550516,01283 551 101,,
Garden Park,"100 Clevedon Road, Tickenham, Clevedon, BS21 6RE, United Kingdom",01275856675,01275 856675,,
Gardenarium,"1 Palace Gate, Hampton Court, KT8 9BN, United Kingdom",,,,
Gardencraft,"Tremadog Garden Centre, Porthmadog, LL49 9RD, United Kingdom",,01766 514364,http://www.gcraft.co.uk,"Friendly local garden centre established in 1985. Happy helpful staff always willing to assist. Free delivery service to all local areas. We also manufacture our own garden buildings and are main agents for Compton and Hanson Garages, Robinson, Alton, Elite, Eden, Hall and Fawt Greenhouses."
Gardenius Nursery,"Upper Land Green, Rocks Lane, Ogden, Halifax, HX2 8XP, United Kingdom",01422244443,,,
Gardentime,"Hemborough Post, Blackawton, Totnes, TQ9 7DE, United Kingdom",01803712345,01803 712345,http://www.gardentime.biz,"Friendly traditional garden centre and nursery with an excellent reputation for high quality plants and expert gardening advice. You'll ,find an abundance of shrubs, conifers, herbaceous perennials, roses, herbs, alpines, trees, palms and houseplants always beautifully displayed in pleasant and relaxing surroundings. Our trained horticultural staff are always here to help and inspire you! Visit us any day of the week, open from 9.00 till 5.30pm Mon to Sat and 10 'till 5 on Sundays. Our coffee shop offers cream teas and freshly prepared meals and light snacks throughout the week. Located 3 miles from Dartmouth on the A3122."
Garners Garden Centre,"Cemetery Road, Silverdale, Newcastle-under-Lyme, ST5 6SH, United Kingdom",01782636428,01782 712674,http://www.garnersgardencentre.co.uk,
Garnetts Gardens,"The Street, Hacheston, Woodbridge, IP13 0DT, United Kingdom",01728724589,01728 723830,http://www.garnettsgardens.co.uk,"Retail Nursery/Farm Shop. Specialise in growing bedding/patio plants and retailing direct to the public. Rapidly expanding plant area. Self service 'Coffee Corner' adds informal ambience to the farm shop. Business is set in picturesque Ore Valley in Suffolk. Redeveloping a meadow walk to extend from the plant centre and plans to incorporate pets corner to include chickens, rabbits and guinea pigs."
Garsons,"Farm Shop, Winterdown Road, West End, Esher, KT10 8LS, United Kingdom",01372460181,01372 460961,,"We are a family run business operating from 2 sites. We aim to provide a quality product from our farm shops and garden centres, which will represent value for money."
Garsons Titchfield,"Garsons Garden Centre, Fontley Road, Titchfield, Fareham, PO15 6QX, United Kingdom",01329844336,01329 844719,,A leisurely day out for all the family with something for everyone. Friendly and expert advice with innovatice ideas. Enjoy a drink or a meal on our terrace with fantastic views of our plant area.
Garthowen Garden Centre Ltd,"Alton Lane, Four Marks, Alton, GU34 5AJ, United Kingdom",01420564325,,,Family business established over 50 years. Friendly service and advice available seven days a week. Summer and Winter hanging baskets made to order or 'off the shelf'. Delivery charged at Â£5 per order.
Gatehouse Nursery,"Gatehouse, Aberfeldy, PH15 2EL, United Kingdom",01887820472,01887 829827,http://www.gatehousenursery.co.uk,
Gates Garden Centre,"Somerby Road, Cold Overton, Oakham, LE15 7QB, United Kingdom",01664454309,01664 454859,http://www.gatesnurseries.co.uk,"Established in 1948 set within Victorian walled garden built in 1818. Extensive covered area for all weather full disabled access and children's play area. Indoor plants excellent quality indoor plants on permanent year round display. Outdoor plants, shrubs and wide variety of extremely high quality. Garden ornaments and furniture, stone tubs, troughs, ornate birdbaths and statues. Top ranges of solid teak and softwood garden furniture on display. Giftware, silk flowers, candles, ceramics and glassware, cards etc. for all occasions. Tea shop fully licensed, complete with oak beams and pine furniture, seating 140. Four miles from Oakham off A606, follow brown tourism signs."
Gemmell's Garden Centre Ltd,"Gemmell's Garden Centre, Trabboch Road, Stair, KA5 5JD, United Kingdom",01292591900,01292 591080,http://www.nurseriesdirect.co.uk,"Ayrshire's largest independent garden centre located in a lovely rural area. Consisting of a well stocked outdoor plant area, comprehensive garden product department and a large gift shop offering a wide range of popular & unusual gifts at affordable prices. Popular coffee shop serving freshly baked cakes, hot meals & snacks. Plenty of parking, easy access for disabled visitors and a childrens play area."
Ginkgo Garden Centre,"Vicarage Road, Egham, TW20 8NT, United Kingdom",01784473287,01784 477654,,
Ginkgo Nursery,"Ditton Nursery, Summerfield Lane, Surbiton, KT6 5DZ, United Kingdom",,,,
Glapwell Nurseries,"Glapwell Lane, Glapwell, Chesterfield, S44 5PY, United Kingdom",01623812191,01623 812191,,
Glendale Garden Centre,"Glendale Game & Garden Centre, 7-9 South Road, Wooler, NE71 6QE, United Kingdom",01668281003,,http://www.glendalegardencentre.co.uk/,
Glendoick Garden Centre,"Glencarse, Perth, PH2 7NS, United Kingdom",01738860260, 01738 860735,http://www.glendoick.com,"Glendoick is wolrd famous for its rhododendrons and azaleas. The owners, the Cox family are plant hunters, nurserymen, hybridisers and authors of numerious books on rhododendrons. The mail order nursery supplies rhododendrons and rare, unusual and newly introduced plants to the UK and abroad. A 70 page colour catalogue is available. The Garden Centre is one of the longest established in Scotland and boasts a huge range of specially selected plant material suitable for eastern Scotland as well as an extensive display garden and trained garden advisors. The world famous gardens are open 2 Sundays in May and by appointment."
Glossop Garden Centre,"(off) Railway Street, Norfolk Street, Glossop, SK13 7AG, United Kingdom",01457869140,01457 869140,http://www.glossopgardencentre.com,
Goldenbank Nursery Garden Centre,"Plymouth Road, Liskeard, PL14 3PB, United Kingdom",01579348622,01579 348622,,"Growing a stunning selection of top quality plants with many rare & unusual species, all in a delightful garden setting."
Golls Nurseries,"Pitchill, Evesham, WR11 8SN, United Kingdom",01386871740,01386 870881,,"We are family run retail nursery with a well stocked aquatic section, stocking a wide range of plants and producing as many of them ourselves as we can."
Goonhavern Garden Centre,"Newquay Road, Goonhavern, Truro, TR4 9QQ, United Kingdom",01872575088,,http://cornwallgardenshop.com,
Gordale Garden Centre,"Chester High Road, Burton, South Wirral, CH64 8TF, United Kingdom",01513362116,01513 368152,http://www.gordale.co.uk,"Established over 60 years ago and still run by the Nicholson family. Gordale is one of Cheshire's leading garden centres. Situated in 20 acres of landscaped grounds Gordale carries over 60,000 quality product lines for the home and garden at competitive prices. Its large contemporary indoor area makes a visit worthwhile whatever the weather with a 180 seater coffee shop serving home made meals, snacks and cakes, an outdoor play area to entertain the younger visitors, fully qualified staff willing to give expert advice and ample free parking for over 500 cars."
Gordon Rigg Nurseries,"Kingsway, Rochdale, OL16 4UX, United Kingdom",01706356089,,http://www.gordonrigg-gardencentres.co.uk,
Gordon Rigg Nurseries Ltd,"Calderbank Nurseries, Rochdale Road, Walsden, Todmorden, OL14 7TJ, United Kingdom",01706813374,01706 818109,http://www.gordonrigg-gardencentres.co.uk,
Goscote Nurseries Ltd,"Syston Road, Cossington, Leicester, LE7 4UZ, United Kingdom",01509812121,01509 814231,http://www.goscotenurseries.co.uk,"When Goscote started 40 years ago, the aim was to bring to Leicestershire a nursery specializing in hardy plants and a team able competent in all aspects of landscaping. Goscote Nurseries sources and grows plants which come from all corners of the world. With the largest selection of hardy plants in the Midlands we have gained a national reputation for supplying quality plants, some of which are rare and unusual. Goscote Design Practice has established a reputation for designing and building gardens to the highest standards. Goscote uses both new and traditional materials found locally, nationally as well as worldwide. Today we are committed as ever to these principles to create gardens of the highest quality."
Goslings Farm,"Goslings Farm, High Road, Trimley St. Martin, Felixstowe, IP11 0SG, United Kingdom",01394273361,,http://www.goslingfarm.co.uk,
